패턴,설명,신호건수,상승건수,하락건수,상승비율,평균종가등락,상승일평균,하락일평균
A,거래량+10~30% 2일 + SMA5 T-2·T-1 모두 하락 → T일,34,22,12,64.7%,2.61%,5.23%,-2.20%
B,거래량+10~30% 2일 + SMA5 T-2 하락·T-1 상승전환 → T일,12,9,3,75.0%,2.45%,3.70%,-1.31%
